fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
29.8,50.0,4.0,180.4,220.0,50.0,240.0,300.0,0.9991,-23.778517932825,8.14417650867255
26.2,50.0,4.0,187.6,220.0,50.0,240.0,300.0,0.9901,-26.593591740375,6.990602249998295
22.6,50.0,4.0,194.8,220.0,50.0,240.0,300.0,0.9811,-28.675807054703,6.908965508407716
19.0,50.0,4.0,202.0,220.0,50.0,240.0,300.0,0.973,-31.341916901143,8.01414385392059
73.0,50.0,4.0,94.0,228.0,50.0,240.0,300.0,1.0,-20.861340725887,9.4464893885462
69.4,50.0,4.0,101.2,228.0,50.0,240.0,300.0,1.0,-24.565556264935,9.1621737535419
65.8,50.0,4.0,108.4,228.0,50.0,240.0,300.0,1.0,-20.398202050388,8.8515893084272
62.2,50.0,4.0,115.6,228.0,50.0,240.0,300.0,0.5374,-44.158277543215,8.691257799222738
58.6,50.0,4.0,122.8,228.0,50.0,240.0,300.0,0.5995,-40.647454092269,7.96354914171539
55.0,50.0,4.0,130.0,228.0,50.0,240.0,300.0,0.9046,-26.35117135866,8.294487293883355
51.4,50.0,4.0,137.2,228.0,50.0,240.0,300.0,0.595,-19.274223571866,7.474077734959451
47.8,50.0,4.0,144.4,228.0,50.0,240.0,300.0,0.5941,-14.953655414095,7.228296658434848
44.2,50.0,4.0,151.6,228.0,50.0,240.0,300.0,0.5923,-13.202457294085,6.968205819739292
40.6,50.0,4.0,158.8,228.0,50.0,240.0,300.0,0.5914,-11.277926923123,6.63625476865798
37.0,50.0,4.0,166.0,228.0,50.0,240.0,300.0,0.5896,-9.9397621440054,6.250373716316192
33.4,50.0,4.0,173.2,228.0,50.0,240.0,300.0,1.0,-23.207104683858,8.4278732970127
29.8,50.0,4.0,180.4,228.0,50.0,240.0,300.0,0.9928,-31.608013987005,7.374205544517527
26.2,50.0,4.0,187.6,228.0,50.0,240.0,300.0,0.9838,-25.833956232037,6.73665781188378
22.6,50.0,4.0,194.8,228.0,50.0,240.0,300.0,0.9748,-22.157825545609,7.35980311338106
19.0,50.0,4.0,202.0,228.0,50.0,240.0,300.0,0.9658,-20.912557718557,8.386237036634414
73.0,50.0,4.0,94.0,236.0,50.0,240.0,300.0,1.0,-22.401786763403,9.3693792009196
69.4,50.0,4.0,101.2,236.0,50.0,240.0,300.0,1.0,-26.144987308924,9.0213422274436
65.8,50.0,4.0,108.4,236.0,50.0,240.0,300.0,1.0,-19.255179105804,8.7208546428082
62.2,50.0,4.0,115.6,236.0,50.0,240.0,300.0,0.5329,-32.639532424132,8.439842405278153
58.6,50.0,4.0,122.8,236.0,50.0,240.0,300.0,0.9154,-29.987374232524,8.476011834430244
55.0,50.0,4.0,130.0,236.0,50.0,240.0,300.0,0.5887,-40.278396812322,7.393222109260392
51.4,50.0,4.0,137.2,236.0,50.0,240.0,300.0,0.5869,-25.530527792552,7.080835398184876
47.8,50.0,4.0,144.4,236.0,50.0,240.0,300.0,0.586,-19.798558778503,6.67661749258156
44.2,50.0,4.0,151.6,236.0,50.0,240.0,300.0,0.5842,-16.037282096262,6.19132457015898
40.6,50.0,4.0,158.8,236.0,50.0,240.0,300.0,0.5824,-13.625853644786,5.61970270307488
37.0,50.0,4.0,166.0,236.0,50.0,240.0,300.0,1.0,-13.633590585867,8.9599600934923
33.4,50.0,4.0,173.2,236.0,50.0,240.0,300.0,0.9964,-22.366112961921,7.510787166662577
29.8,50.0,4.0,180.4,236.0,50.0,240.0,300.0,0.9874,-19.401378748083,7.264637843385093
26.2,50.0,4.0,187.6,236.0,50.0,240.0,300.0,0.9775,-17.187811241544,6.908510646213474
22.6,50.0,4.0,194.8,236.0,50.0,240.0,300.0,0.9685,-16.102790456511,7.808789591784899
19.0,50.0,4.0,202.0,236.0,50.0,240.0,300.0,0.9604,-15.504934302502,8.65675974596692
73.0,50.0,4.0,94.0,244.0,50.0,240.0,300.0,1.0,-25.228089361703,9.3136995247052
69.4,50.0,4.0,101.2,244.0,50.0,240.0,300.0,1.0,-26.110243792408,9.0621031566802
65.8,50.0,4.0,108.4,244.0,50.0,240.0,300.0,1.0,-18.291383524471,8.7765868195954
62.2,50.0,4.0,115.6,244.0,50.0,240.0,300.0,0.5284,-24.179540006603,7.91487958210598
58.6,50.0,4.0,122.8,244.0,50.0,240.0,300.0,0.9118,-29.476460163411,8.425567095158675
55.0,50.0,4.0,130.0,244.0,50.0,240.0,300.0,0.8992,-25.500301627692,8.430328572430216
51.4,50.0,4.0,137.2,244.0,50.0,240.0,300.0,0.5797,-40.366996459132,6.110825497999698
47.8,50.0,4.0,144.4,244.0,50.0,240.0,300.0,0.577,-28.870874329007,5.403857651608417
44.2,50.0,4.0,151.6,244.0,50.0,240.0,300.0,0.5761,-21.310235714507,4.969942868671424
40.6,50.0,4.0,158.8,244.0,50.0,240.0,300.0,0.5743,-17.283609417236,4.783104601502101
37.0,50.0,4.0,166.0,244.0,50.0,240.0,300.0,1.0,-18.983115867867,7.8103663952485
33.4,50.0,4.0,173.2,244.0,50.0,240.0,300.0,0.991,-16.955241208879,7.5749181270736905
29.8,50.0,4.0,180.4,244.0,50.0,240.0,300.0,0.982,-15.236257811098,7.082720413855061
26.2,50.0,4.0,187.6,244.0,50.0,240.0,300.0,0.9712,-13.516034239983,7.52467864320733
22.6,50.0,4.0,194.8,244.0,50.0,240.0,300.0,0.9622,-12.543297543882,8.279457321731615
19.0,50.0,4.0,202.0,244.0,50.0,240.0,300.0,0.9541,-12.312898405263,8.873670096685144
73.0,50.0,4.0,94.0,252.0,50.0,240.0,300.0,1.0,-28.291713195008,9.2397293173997
69.4,50.0,4.0,101.2,252.0,50.0,240.0,300.0,1.0,-24.608638589854,9.0366902703154
65.8,50.0,4.0,108.4,252.0,50.0,240.0,300.0,1.0,-16.976240336664,8.7074712103954
62.2,50.0,4.0,115.6,252.0,50.0,240.0,300.0,0.5248,-19.79389803011,7.3443169048198875
58.6,50.0,4.0,122.8,252.0,50.0,240.0,300.0,0.9109,-29.201017185037,8.39727855638615
55.0,50.0,4.0,130.0,252.0,50.0,240.0,300.0,0.8983,-28.038181431444,8.397785124977863
51.4,50.0,4.0,137.2,252.0,50.0,240.0,300.0,0.5716,-24.124230919553,5.635102943172063
47.8,50.0,4.0,144.4,252.0,50.0,240.0,300.0,0.5698,-34.503571272882,5.41012050443382
44.2,50.0,4.0,151.6,252.0,50.0,240.0,300.0,0.568,-30.271821922614,5.081951346906836
40.6,50.0,4.0,158.8,252.0,50.0,240.0,300.0,0.5662,-22.91773486755,4.917196359190218
37.0,50.0,4.0,166.0,252.0,50.0,240.0,300.0,0.5653,-18.717136568808,4.8365217117522095
33.4,50.0,4.0,173.2,252.0,50.0,240.0,300.0,0.5635,-16.653075144807,4.7653250641843785
29.8,50.0,4.0,180.4,252.0,50.0,240.0,300.0,0.5617,-14.781824456473,4.673318006211507
26.2,50.0,4.0,187.6,252.0,50.0,240.0,300.0,0.5599,-13.526423158499,4.89041414811405
22.6,50.0,4.0,194.8,252.0,50.0,240.0,300.0,0.5581,-12.618517228685,4.865240322438761
19.0,50.0,4.0,202.0,252.0,50.0,240.0,300.0,0.5572,-11.792709041203,4.797807976551123
