Serial Number,Substrate Thickness,Patch Length,Patch Width,Frequency,Return Loss (s11),Gain
433,82,140,183,0.6616,-21.85,9.3152
434,83,140,183,0.6742,-27.074,9.1609
435,84,140,183,0.6769,-29.244,9.0644
436,85,140,183,0.6778,-38.704,8.8638
437,86,140,183,0.6832,-35.151,8.84
438,87,140,183,0.6859,-32.401,8.7588
439,88,140,183,0.6823,-48.134,8.7822
440,89,140,183,0.6823,-41.795,8.7629
441,80,140,184,0.6445,-19.337,9.8757
442,81,140,184,0.6544,-19.619,9.5861
443,82,140,184,0.676,-28.064,9.1278
444,83,140,184,0.6778,-32.522,9.0434
445,84,140,184,0.6751,-30.221,9.0075
446,85,140,184,0.6778,-34.107,8.9424
447,86,140,184,0.6796,-34.446,8.9075
448,87,140,184,0.6805,-44.918,8.8242
449,88,140,184,0.6823,-46.731,8.7367
450,89,140,184,0.6832,-42.925,8.6935
451,80,140,185,0.6436,-19.453,9.8755
452,81,140,185,0.6625,-21.281,9.4074
453,82,140,185,0.6742,-28.237,9.181
454,83,140,185,0.6769,-30.788,9.0563
455,84,140,185,0.676,-28.652,9.0232
456,85,140,185,0.6769,-32.402,8.9946
457,86,140,185,0.6796,-53.934,8.8192
458,87,140,185,0.6841,-36.493,8.8134
459,88,140,185,0.685,-33.555,8.7584
460,89,140,185,0.6823,-38.778,8.6686
461,80,140,186,0.6427,-19.521,9.884
462,81,140,186,0.6616,-20.984,9.4159
463,82,140,186,0.6733,-28.887,9.1056
464,83,140,186,0.6715,-26.214,9.1586
465,84,140,186,0.6751,-33.216,9.025
466,85,140,186,0.676,-39.972,8.9829
467,86,140,186,0.6787,-69.127,8.8196
468,87,140,186,0.6796,-49.726,8.8137
469,88,140,186,0.6796,-41.353,8.8212
470,89,140,186,0.6814,-41.448,8.7427
471,80,140,187,0.6418,-19.736,9.8718
472,81,140,187,0.6526,-21.661,9.5373
473,82,140,187,0.6733,-30.347,9.1131
474,83,140,187,0.6697,-27.927,9.1429
475,84,140,187,0.6742,-31.421,8.998
476,85,140,187,0.676,-37.176,8.9455
477,86,140,187,0.676,-48.689,8.8678
478,87,140,187,0.6814,-28.974,8.7658
479,88,140,187,0.6841,-31.571,8.7658
480,89,140,187,0.6796,-47.802,8.802
481,80,140,188,0.6418,-19.749,9.8765
482,81,140,188,0.6598,-22.464,9.422
483,82,140,188,0.6751,-30.234,9.1447
484,83,140,188,0.6706,-29.871,9.1319
485,84,140,188,0.6742,-32.51,9.0519
486,85,140,188,0.676,-38.701,8.9295
487,86,140,188,0.6814,-30.481,8.8182
488,87,140,188,0.6778,-41.513,8.8326
489,88,140,188,0.6841,-31.046,8.6877
490,89,140,188,0.6796,-34.627,8.7355
491,80,140,189,0.6409,-20.337,9.8667
492,81,140,189,0.6598,-22.185,9.4307
493,82,140,189,0.6652,-27.447,9.2533
494,83,140,189,0.6679,-28.689,9.1845
495,84,140,189,0.6724,-33.886,9.0217
496,85,140,189,0.6742,-47.814,8.9489
497,86,140,189,0.6769,-45.677,8.804
498,87,140,189,0.6769,-49.825,8.8795
499,88,140,189,0.6778,-55.24,8.8771
500,89,140,189,0.6796,-38.813,8.7363
501,80,141,180,0.6454,-17.91,9.8736
502,81,141,180,0.6634,-19.265,9.3947
503,82,141,180,0.6778,-24.666,9.0521
504,83,141,180,0.6733,-24.504,9.1074
505,84,141,180,0.6778,-26.264,8.9684
506,85,141,180,0.6787,-27.299,8.9501
507,86,141,180,0.6814,-34.765,8.8307
508,87,141,180,0.6823,-37.012,8.809
509,88,141,180,0.6832,-47.089,8.7444
510,89,141,180,0.6832,-45.603,8.7026
511,80,141,181,0.6454,-18.139,9.9024
512,81,141,181,0.6634,-19.794,9.3861
513,82,141,181,0.6688,-23.826,9.203
514,83,141,181,0.6796,-25.714,9.0267
515,84,141,181,0.6769,-28.438,8.9419
516,85,141,181,0.6787,-27.642,8.9664
517,86,141,181,0.6814,-35.136,8.778
518,87,141,181,0.6805,-39.509,8.7856
519,88,141,181,0.6841,-35.058,8.6799
520,89,141,181,0.6832,-44.602,8.7586
521,80,141,182,0.6445,-18.229,9.8721
522,81,141,182,0.6616,-19.113,9.3972
523,82,141,182,0.6679,-23.213,9.2219
524,83,141,182,0.6733,-28.499,9.0454
525,84,141,182,0.6751,-26.437,9.0277
526,85,141,182,0.6778,-29.072,8.9518
527,86,141,182,0.6796,-36.634,8.7982
528,87,141,182,0.6805,-38.77,8.8235
529,88,141,182,0.6859,-32.559,8.6813
530,89,141,182,0.6823,-49.262,8.7257
531,80,141,183,0.6427,-18.159,9.889
532,81,141,183,0.6544,-18.841,9.6034
533,82,141,183,0.6679,-24.285,9.2023
534,83,141,183,0.6796,-28.524,8.971
535,84,141,183,0.6814,-37.37,8.9189
536,85,141,183,0.6778,-29.364,8.9176
537,86,141,183,0.6796,-33.68,8.8191
538,87,141,183,0.6805,-40.867,8.7714
539,88,141,183,0.6868,-35.77,8.6787
540,89,141,183,0.6805,-42.199,8.7668
541,80,141,184,0.6418,-18.296,9.8785
542,81,141,184,0.6616,-19.519,9.4023
543,82,141,184,0.6751,-24.486,9.1241
544,83,141,184,0.6706,-27.585,9.102
545,84,141,184,0.6742,-27.512,9.0394
546,85,141,184,0.6769,-30.667,8.8818
547,86,141,184,0.6778,-36.234,8.8374
548,87,141,184,0.6805,-33.222,8.7786
549,88,141,184,0.6823,-48.442,8.6887
550,89,141,184,0.6814,-57.032,8.7027
551,80,141,185,0.6418,-18.736,9.9027
552,81,141,185,0.6526,-19.987,9.5438
553,82,141,185,0.667,-24.718,9.2536
554,83,141,185,0.6778,-27.71,9.0246
555,84,141,185,0.6742,-29.803,8.9351
556,85,141,185,0.676,-41.847,8.8499
557,86,141,185,0.6778,-32.449,8.8608
558,87,141,185,0.6787,-37.468,8.8202
559,88,141,185,0.6796,-41.7,8.7365
560,89,141,185,0.4321,-1.6779,6.9825
561,80,141,186,0.6409,-18.728,9.8767
562,81,141,186,0.6517,-20.43,9.5766
563,82,141,186,0.6724,-25.532,9.1093
564,83,141,186,0.6697,-25.704,9.1066
565,84,141,186,0.6742,-29.096,8.979
566,85,141,186,0.6751,-31.292,8.9443
567,86,141,186,0.6805,-36.319,8.8172
568,87,141,186,0.6769,-40.573,8.8439
569,88,141,186,0.6796,-42.118,8.7552
570,89,141,186,0.6796,-44.049,8.648
571,80,141,187,0.6409,-18.997,9.8805
572,81,141,187,0.6517,-19.939,9.5847
573,82,141,187,0.6571,-23.646,9.3175
574,83,141,187,0.6706,-26.761,9.0743
575,84,141,187,0.6715,-27.71,9.0209
576,85,141,187,0.6751,-36.903,8.8886
577,86,141,187,0.676,-43.579,8.7905
578,87,141,187,0.6769,-40.103,8.7964
579,88,141,187,0.6787,-46.93,8.7975
580,89,141,187,0.6796,-46.765,8.708
581,80,141,188,0.6391,-18.945,9.8551
582,81,141,188,0.6499,-19.761,9.5565
583,82,141,188,0.6661,-24.398,9.2045
584,83,141,188,0.6697,-26.112,9.1085
585,84,141,188,0.6733,-28.68,8.9799
586,85,141,188,0.6724,-34.683,8.9257
587,86,141,188,0.6751,-46.424,8.8304
588,87,141,188,0.676,-44.931,8.7802
589,88,141,188,0.6778,-40.041,8.8234
590,89,141,188,0.6787,-50.511,8.7685
591,80,141,189,0.6391,-19.229,9.8798
592,81,141,189,0.6589,-22.483,9.357
593,82,141,189,0.6715,-26.023,9.1023
594,83,141,189,0.6697,-28.032,9.0444
595,84,141,189,0.6724,-30.827,8.9949
596,85,141,189,0.6742,-41.506,8.8617
597,86,141,189,0.676,-43.379,8.7709
598,87,141,189,0.6769,-55.109,8.787
599,88,141,189,0.6787,-29.923,8.6454
600,89,141,189,0.6787,-36.966,8.7496
601,80,142,180,0.6445,-17.014,9.872
602,81,142,180,0.6544,-18.108,9.1365
603,82,142,180,0.6688,-21.121,9.1791
604,83,142,180,0.6796,-24.531,8.9795
605,84,142,180,0.6769,-27.045,8.9489
606,85,142,180,0.6823,-29.221,8.8327
607,86,142,180,0.6805,-34.978,8.7483
