fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
50.5,50,4,139,181,86,240,300,0.8443,-15.81441112,9.680152749
50.5,50,4,139,182,80,240,300,0.8398,-21.82015008,9.084891579
50.5,50,4,139,182,81,240,300,0.8443,-18.19070033,9.394010698
50.5,50,4,139,182,82,240,300,0.8461,-17.4286051,9.544485547
50.5,50,4,139,182,83,240,300,0.8452,-16.91590635,9.583830938
50.5,50,4,139,182,84,240,300,0.8452,-16.29988184,9.62353357
50.5,50,4,139,182,85,240,300,0.8443,-16.28796541,9.650339903
50.5,50,4,139,182,86,240,300,0.8434,-15.88821647,9.706860463
50.5,50,4,139,183,80,240,300,0.8398,-21.62866311,9.100444739
50.5,50,4,139,183,81,240,300,0.8479,-17.38600073,9.430232085
50.5,50,4,139,183,82,240,300,0.8461,-17.39540992,9.553005467
50.5,50,4,139,183,83,240,300,0.8452,-17.22914591,9.533044564
50.5,50,4,139,183,84,240,300,0.8452,-16.07882123,9.663647513
50.5,50,4,139,183,85,240,300,0.8452,-16.16355694,9.637511045
50.5,50,4,139,183,86,240,300,0.8434,-15.90412674,9.682717517
50.5,50,4,139,184,80,240,300,0.8389,-21.75678518,9.084274878
50.5,50,4,139,184,81,240,300,0.8443,-18.70650187,9.338618225
50.5,50,4,139,184,82,240,300,0.8452,-17.45301681,9.491857609
50.5,50,4,139,184,83,240,300,0.8452,-16.55600827,9.558544109
50.5,50,4,139,184,84,240,300,0.8443,-16.47680548,9.592918451
50.5,50,4,139,184,85,240,300,0.8452,-16.05045961,9.659317324
50.5,50,4,139,184,86,240,300,0.8434,-15.81253998,9.681596399
50.5,50,4,139,185,80,240,300,0.8389,-21.72336513,9.077235906
50.5,50,4,139,185,81,240,300,0.8434,-18.36092834,9.336345091
50.5,50,4,139,185,82,240,300,0.8443,-17.65066636,9.446181059
50.5,50,4,139,185,83,240,300,0.8443,-16.91798871,9.572306571
50.5,50,4,139,185,84,240,300,0.8452,-16.40788291,9.579707327
50.5,50,4,139,185,85,240,300,0.8452,-16.04027602,9.672317009
50.5,50,4,139,185,86,240,300,0.8461,-14.51780765,9.71621486
50.5,50,4,139,186,80,240,300,0.8389,-21.64788552,9.036753589
50.5,50,4,139,186,81,240,300,0.8434,-18.54140028,9.333743686
50.5,50,4,139,186,82,240,300,0.8452,-17.36127222,9.505124059
50.5,50,4,139,186,83,240,300,0.8452,-16.72791041,9.539045976
50.5,50,4,139,186,84,240,300,0.8452,-16.22723683,9.639469202
50.5,50,4,139,186,85,240,300,0.8443,-15.86076462,9.645697642
50.5,50,4,139,186,86,240,300,0.8461,-14.63746963,9.668303933
50,50,4,140,180,80,240,300,0.8398,-23.34250363,9.138981886
50,50,4,140,180,81,240,300,0.8443,-19.95747666,9.46207736
50,50,4,140,180,82,240,300,0.8524,-15.99838349,9.581301558
50,50,4,140,180,83,240,300,0.8461,-17.86345132,9.639245922
50,50,4,140,180,84,240,300,0.8461,-17.10572273,9.715892703
50,50,4,140,180,85,240,300,0.8452,-17.10379102,9.692117958
50,50,4,140,180,86,240,300,0.8443,-16.71856252,9.720795073
50,50,4,140,181,80,240,300,0.8389,-23.15301449,9.12312722
50,50,4,140,181,81,240,300,0.8434,-20.14201747,9.378113879
50,50,4,140,181,82,240,300,0.8461,-18.31585186,9.586192255
50,50,4,140,181,83,240,300,0.847,-18.1605914,9.629357486
50,50,4,140,181,84,240,300,0.8461,-17.06343956,9.676725828
50,50,4,140,181,85,240,300,0.8452,-17.14033429,9.708100055
50,50,4,140,181,86,240,300,0.8434,-16.91675462,9.719173633
50,50,4,140,182,80,240,300,0.8389,-23.20259477,9.102897071
50,50,4,140,182,81,240,300,0.8443,-19.87121585,9.398695254
50,50,4,140,182,82,240,300,0.8452,-18.1823701,9.533962046
50,50,4,140,182,83,240,300,0.8452,-17.83691369,9.589422113
50,50,4,140,182,84,240,300,0.8452,-17.14821369,9.648909334
50,50,4,140,182,85,240,300,0.8452,-16.70795927,9.691663107
50,50,4,140,182,86,240,300,0.8443,-16.51532718,9.703604079
50,50,4,140,183,80,240,300,0.8389,-23.17953355,9.076606627
50,50,4,140,183,81,240,300,0.8434,-20.22633467,9.378542968
50,50,4,140,183,82,240,300,0.8452,-18.69344047,9.5216782
50,50,4,140,183,83,240,300,0.8443,-17.62100248,9.605771535
50,50,4,140,183,84,240,300,0.8452,-16.91980267,9.656304621
50,50,4,140,183,85,240,300,0.8443,-16.7732964,9.662799273
50,50,4,140,183,86,240,300,0.8434,-16.61059026,9.698836525
50,50,4,140,184,80,240,300,0.8389,-22.99860486,9.060309821
50,50,4,140,184,81,240,300,0.8434,-19.58408368,9.384769517
50,50,4,140,184,82,240,300,0.8452,-18.52741472,9.505419281
50,50,4,140,184,83,240,300,0.8461,-17.37374662,9.616957182
50,50,4,140,184,84,240,300,0.8452,-17.27071971,9.660901133
50,50,4,140,184,85,240,300,0.8452,-16.94465146,9.645635286
50,50,4,140,184,86,240,300,0.8434,-16.62587316,9.693179728
50,50,4,140,185,80,240,300,0.8389,-23.12804891,9.06223007
50,50,4,140,185,81,240,300,0.8434,-20.1250644,9.384037756
50,50,4,140,185,82,240,300,0.8452,-18.09053209,9.500319267
50,50,4,140,185,83,240,300,0.8452,-17.5890097,9.557910794
50,50,4,140,185,84,240,300,0.8452,-16.88559406,9.654950553
50,50,4,140,185,85,240,300,0.8434,-16.96751481,9.649457499
50,50,4,140,185,86,240,300,0.847,-15.48677644,9.696036454
50,50,4,140,186,80,240,300,0.838,-22.94522448,9.07525794
50,50,4,140,186,81,240,300,0.8425,-19.81411327,9.359263883
50,50,4,140,186,82,240,300,0.8443,-18.43422533,9.472009874
50,50,4,140,186,83,240,300,0.8452,-17.27098672,9.570965367
50,50,4,140,186,84,240,300,0.8443,-17.09743917,9.649977484
50,50,4,140,186,85,240,300,0.8434,-16.57601214,9.676561209
50,50,4,140,186,86,240,300,0.8452,-15.32602937,9.683675782
49.5,50,4,141,180,80,240,300,0.8389,-24.60939271,9.108391213
49.5,50,4,141,180,81,240,300,0.8443,-20.84689657,9.432306103
49.5,50,4,141,180,82,240,300,0.8452,-19.52799794,9.545615602
49.5,50,4,141,180,83,240,300,0.8461,-18.67843395,9.655729257
49.5,50,4,141,180,84,240,300,0.8461,-17.77920543,9.690901779
49.5,50,4,141,180,85,240,300,0.8452,-17.67834173,9.727332392
49.5,50,4,141,180,86,240,300,0.8443,-17.45671413,9.732885454
49.5,50,4,141,181,80,240,300,0.8389,-24.69932596,9.08291573
49.5,50,4,141,181,81,240,300,0.8434,-20.52193329,9.440579372
49.5,50,4,141,181,82,240,300,0.8461,-19.83066839,9.589136529
49.5,50,4,141,181,83,240,300,0.8461,-18.42520394,9.639838617
49.5,50,4,141,181,84,240,300,0.8461,-18.16157277,9.659253437
49.5,50,4,141,181,85,240,300,0.8443,-17.81899936,9.718789794
49.5,50,4,141,181,86,240,300,0.8443,-17.3713522,9.739278646
49.5,50,4,141,182,80,240,300,0.8389,-24.82704528,9.108324248
