fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
69.5,50.0,4.0,101.0,259.0,98.0,240.0,300.0,0.9091,-15.405792029668,6.340202506678829
65.73076923077,50.0,4.0,108.53846153846,139.0,49.0,240.0,300.0,0.9649,-13.172112872128,7.535563816703687
65.73076923077,50.0,4.0,108.53846153846,149.0,49.0,240.0,300.0,0.964,-12.924384631644,9.0023361458713
65.73076923077,50.0,4.0,108.53846153846,159.0,49.0,240.0,300.0,0.5977,-13.706416387359,9.295868991794213
65.73076923077,50.0,4.0,108.53846153846,169.0,49.0,240.0,300.0,0.5923,-16.994729731947,9.237292790208729
65.73076923077,50.0,4.0,108.53846153846,179.0,49.0,240.0,300.0,0.5923,-19.116504287695,9.08803047044433
65.73076923077,50.0,4.0,108.53846153846,189.0,49.0,240.0,300.0,0.5824,-23.94727515984,8.87661110503648
65.73076923077,50.0,4.0,108.53846153846,199.0,49.0,240.0,300.0,0.5824,-48.134708948672,8.498482078284448
65.73076923077,50.0,4.0,108.53846153846,209.0,49.0,240.0,300.0,0.6256,-41.800237103125,7.4856516116753555
65.73076923077,50.0,4.0,108.53846153846,219.0,49.0,240.0,300.0,0.6184,-21.697024094563,7.558977771767389
65.73076923077,50.0,4.0,108.53846153846,229.0,49.0,240.0,300.0,1.0,-20.070233671728,8.7184165187566
65.73076923077,50.0,4.0,108.53846153846,239.0,49.0,240.0,300.0,1.0,-18.543328040338,8.665421619984
65.73076923077,50.0,4.0,108.53846153846,249.0,49.0,240.0,300.0,0.9523,-17.073861293206,8.734048655311925
65.73076923077,50.0,4.0,108.53846153846,259.0,49.0,240.0,300.0,0.7777,-18.150777063351,8.12322039426887
65.73076923077,50.0,4.0,108.53846153846,139.0,53.9,240.0,300.0,0.9415,-13.051402518257,8.795972622754796
65.73076923077,50.0,4.0,108.53846153846,149.0,53.9,240.0,300.0,0.5941,-13.65617002274,9.244047559488912
